k,run,elapsed_ms
1,1,122
1,2,124
1,3,116
1,4,121
1,5,121
2,1,69
2,2,79
2,3,63
2,4,72
2,5,71
5,1,52
5,2,42
5,3,42
5,4,44
5,5,43
10,1,29
10,2,30
10,3,26
10,4,28
10,5,26
20,1,26
20,2,27
20,3,26
20,4,21
20,5,28
50,1,25
50,2,24
50,3,27
50,4,22
50,5,26
100,1,16
100,2,9
100,3,15
100,4,17
100,5,25
1,1,129
1,2,137
1,3,131
1,4,108
1,5,123
2,1,71
2,2,70
2,3,70
2,4,69
2,5,66
5,1,35
5,2,49
5,3,50
5,4,40
5,5,47
10,1,24
10,2,37
10,3,27
10,4,30
10,5,28
20,1,25
20,2,25
20,3,27
20,4,26
20,5,27
50,1,26
50,2,27
50,3,29
50,4,28
50,5,26
100,1,16
100,2,19
100,3,23
100,4,20
100,5,21
1,1,124
1,2,113
1,3,110
1,4,112
1,5,130
2,1,64
2,2,69
2,3,61
2,4,70
2,5,73
5,1,47
5,2,42
5,3,48
5,4,46
5,5,49
10,1,27
10,2,29
10,3,28
10,4,24
10,5,37
20,1,26
20,2,27
20,3,25
20,4,27
20,5,26
50,1,26
50,2,26
50,3,21
50,4,25
50,5,26
100,1,16
100,2,16
100,3,17
100,4,20
100,5,24
1,1,137
1,2,118
1,3,137
1,4,87
1,5,119
2,1,81
2,2,73
2,3,73
2,4,56
2,5,70
5,1,42
5,2,43
5,3,41
5,4,48
5,5,47
10,1,26
10,2,24
10,3,33
10,4,26
10,5,36
20,1,25
20,2,26
20,3,27
20,4,26
20,5,27
50,1,24
50,2,23
50,3,25
50,4,26
50,5,29
100,1,19
100,2,19
100,3,21
100,4,17
100,5,19
1,1,138
1,2,127
1,3,127
1,4,132
1,5,119
2,1,73
2,2,73
2,3,58
2,4,65
2,5,65
5,1,46
5,2,44
5,3,43
5,4,48
5,5,47
10,1,29
10,2,30
10,3,27
10,4,32
10,5,31
20,1,25
20,2,27
20,3,27
20,4,29
20,5,27
50,1,21
50,2,28
50,3,26
50,4,26
50,5,26
100,1,16
100,2,21
100,3,16
100,4,22
100,5,8
1,1,222
1,2,195
1,3,75
1,4,127
1,5,114
2,1,70
2,2,85
2,3,71
2,4,69
2,5,64
5,1,43
5,2,40
5,3,42
5,4,46
5,5,35
10,1,26
10,2,30
10,3,27
10,4,31
10,5,27
20,1,25
20,2,27
20,3,27
20,4,25
20,5,32
50,1,25
50,2,27
50,3,23
50,4,25
50,5,21
100,1,17
100,2,18
100,3,18
100,4,21
100,5,11
1,1,90
1,2,65
1,3,60
1,4,57
1,5,65
2,1,45
2,2,45
2,3,41
2,4,46
2,5,49
5,1,22
5,2,23
5,3,22
5,4,24
5,5,28
10,1,22
10,2,23
10,3,23
10,4,23
10,5,23
20,1,23
20,2,23
20,3,22
20,4,23
20,5,22
50,1,9
50,2,11
50,3,11
50,4,10
50,5,12
100,1,6
100,2,8
100,3,6
100,4,7
100,5,7
